un1,un2,un3,un4,un5,un6,line
"0","964526","32496","0","3","-15","116.3904986227436400 39.9915780857700510 -15.0000000000000000, 116.3904992990224100 39.9915638976788660 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905114839687100 39.9915781772007650 -15.0000000000000000, 116.3905142372565700 39.9915338449446980 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905142372565700 39.9915338449446980 -15.0000000000000000, 116.3905137280240000 39.9915222037115680 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905137280240000 39.9915222037115680 -15.0000000000000000, 116.3905372930403000 39.9915213563942370 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905372930403000 39.9915213563942370 -15.0000000000000000, 116.3906430126745300 39.9915193502994270 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905142372565700 39.9915338449446980 -15.0000000000000000, 116.3904499900952900 39.9915328900155490 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3904499900952900 39.9915328900155490 -15.0000000000000000, 116.3904436002797700 39.9915328900155490 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3904499900952900 39.9915328900155490 -15.0000000000000000, 116.3904499900952900 39.9915429442658380 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3904436002797700 39.9915328900155490 -15.0000000000000000, 116.3904403800857800 39.9919791864339300 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905372930403000 39.9915213563942370 -15.0000000000000000, 116.3905372930403000 39.9914568700874540 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905372930403000 39.9914568700874540 -15.0000000000000000, 116.3905128827602800 39.9913869535135970 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905128827602800 39.9913869535135970 -15.0000000000000000, 116.3910886792575600 39.9913963271521310 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3910886792575600 39.9913963271521310 -15.0000000000000000, 116.3910873270309000 39.9913663192251930 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3910873270309000 39.9913663192251930 -15.0000000000000000, 116.3911266330845000 39.9913670750421280 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911266330845000 39.9913670750421280 -15.0000000000000000, 116.3911293558406000 39.9913475033159500 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911293558406000 39.9913475033159500 -15.0000000000000000, 116.3911288811822700 39.9913091193614750 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911288811822700 39.9913091193614750 -15.0000000000000000, 116.3911167374128300 39.9913090338527230 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911167374128300 39.9913090338527230 -15.0000000000000000, 116.3911167374128300 39.9912970345013430 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911288811822700 39.9913091193614750 -15.0000000000000000, 116.3911356622704400 39.9909829380834130 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911356622704400 39.9909829380834130 -15.0000000000000000, 116.3911250528996000 39.9909827122298220 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911250528996000 39.9909827122298220 -15.0000000000000000, 116.3911250528996000 39.9909963743274090 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911356622704400 39.9909829380834130 -15.0000000000000000, 116.3911353247566200 39.9909656247378110 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911353247566200 39.9909656247378110 -15.0000000000000000, 116.3912070569855900 39.9909698254352790 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911353247566200 39.9909656247378110 -15.0000000000000000, 116.3911405905977900 39.9906625768802120 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911405905977900 39.9906625768802120 -15.0000000000000000, 116.3911276668786700 39.9906627650989460 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911276668786700 39.9906627650989460 -15.0000000000000000, 116.3911276668786700 39.9906787213398620 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911405905977900 39.9906625768802120 -15.0000000000000000, 116.3911487021030100 39.9903930861305530 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3909108771054800 39.9922272852927070 -15.0000000000000000, 116.3909179179653500 39.9915123826095140 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3909179179653500 39.9915123826095140 -15.0000000000000000, 116.3907037562732100 39.9915185803520000 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3909179179653500 39.9915123826095140 -15.0000000000000000, 116.3909701079820700 39.9915123826095140 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3909701079820700 39.9915123826095140 -15.0000000000000000, 116.3909701079820700 39.9914890083285140 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3909701079820700 39.9914890083285140 -15.0000000000000000, 116.3910592049167300 39.9914866688668060 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3910592049167300 39.9914866688668060 -15.0000000000000000, 116.3910679211194000 39.9915004189862490 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3910679211194000 39.9915004189862490 -15.0000000000000000, 116.3910876404662800 39.9915258357419030 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3910876404662800 39.9915258357419030 -15.0000000000000000, 116.3911232627393400 39.9915273492531330 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911232627393400 39.9915273492531330 -15.0000000000000000, 116.3911226017794400 39.9914742264452060 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911226017794400 39.9914742264452060 -15.0000000000000000, 116.3911226017794400 39.9914273966381940 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911226017794400 39.9914742264452060 -15.0000000000000000, 116.3911893537733700 39.9914690348716420 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911893537733700 39.9914690348716420 -15.0000000000000000, 116.3911962306293600 39.9914693440583090 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911893537733700 39.9914690348716420 -15.0000000000000000, 116.3911924130467100 39.9913210527487240 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911924130467100 39.9913210527487240 -15.0000000000000000, 116.3912001152103700 39.9913206758761110 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911962306293600 39.9914693440583090 -15.0000000000000000, 116.3911939862560100 39.9916513193616510 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911232627393400 39.9915273492531330 -15.0000000000000000, 116.3911222641372700 39.9916767452677110 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911222641372700 39.9916767452677110 -15.0000000000000000, 116.3911028163367700 39.9916771036425730 -15.0000000000000000"
